client_id,business_name,owner_first_name,trade,trade_confidence,license_class,roc_number,phone,city,zip,also_holds,email,website
day-one-roofing-llc,"DAY ONE ROOFING, LLC",Jon,roofing,high,CR-42,362939,(480) 252-2248,GILBERT,85295,,,
a-b-handyman-llc,"A & B Handyman, LLC",Brian,handyman,medium,B,362938,(928) 243-2246,Taylor,85939,R-62|R-62,,
bonzer-fabrication-and-design-llc,BONZER FABRICATION AND DESIGN LLC,Robert,welding,high,CR-24,363045,(520) 891-2293,TUCSON,85749,,,
gonzalez-block-llc,GONZALEZ BLOCK LLC,Jose,masonry,high,CR-31,363043,(928) 274-8175,Cottonwood,86326,,,
encino-custom-cabinetry-llc,ENCINO CUSTOM CABINETRY LLC,Karen,carpentry,high,R-60,363041,(602) 421-0213,PHOENIX,85017,,,
camelback-roofing-system-llc,Camelback Roofing System LLC,Claudia,roofing,high,CR-42,363039,(602) 901-5981,PHOENIX,85041,,,
aura-comfort-solutions-llc,AURA Comfort Solutions LLC,Josemaria,hvac,high,CR-39,363031,(928) 920-2768,Maricopa,85139,,,
db-epoxy-solutions-llc,DB Epoxy Solutions LLC,Dustin,handyman,high,R-62,363028,(623) 261-8197,Buckeye,85396,,,
te-li,Te Li,Te,hvac,medium,B-1,363026,(626) 342-8790,Ontario,91762,C-58|R-11|A-11|C-14|C-24|C-3|C-16|A|C-4|C-49|C-38|C-40|C-45,,
ca-keith-llc,CA Keith LLC,Christian,handyman,high,R-62,363025,(818) 749-5413,Gilbert,85298,,,
qinjie-zhou,Qinjie Zhou,Qinjie,electrical,high,R-11,363023,(626) 990-8989,Alhambra,91801,,,
state-48-framing-drywall-llc,STATE 48 FRAMING & DRYWALL LLC,Samuel,sheetrock,high,CR-10,363015,(602) 561-8716,Phoenix,85040,CR-7,,
larry-jacinto-construction-inc,"Larry Jacinto Construction, Inc.",Brian,general,high,A,363013,(909) 794-2151,Mentone,92359,,,
state-48-framing-drywall-llc,STATE 48 FRAMING & DRYWALL LLC,Samuel,sheetrock,high,CR-10,363011,(602) 561-8716,Phoenix,85040,CR-7,,
bennys-building-services-llc,Benny's Building Services LLC,Angel,general,high,KB-1,363010,(480) 527-3714,Mesa,85202,,,
the-metal-roofing-consortium-llc,"The Metal Roofing Consortium, LLC",William,roofing,high,CR-42,363008,(726) 228-5729,Austin,78727,,,
huasen-wei,Huasen Wei,Huasen,general,high,B-1,363006,(626) 265-6418,Phoenix,85013,,,
mao-hsun-system-technology-co,Mao Hsun System Technology Co.,SILVIA,plumbing,medium,C-4,363005,(972) 489-3887,Phoenix,85027,,,
white-family-rentals-llc,White Family Rentals LLC,Mckenzie,handyman,high,R-62,363003,(928) 380-9560,Flagstaff,86005,,,
ema-builders-inc,"EMA Builders, Inc",Edmundo,general,high,B-1,362999,(661) 644-6981,San Ramon,94583,,,
earnestbuilt-llc,EARNESTBUILT LLC.,Ernest,general,high,KB-1,362997,(928) 848-6334,Flagstaff,86001,,,
cd-remodels-llc,C&D Remodels LLC,Maira,carpentry,high,R-60,362996,(623) 999-2038,BUCKEYE,85326,,,
black-out-electric-az-llc,Black Out Electric AZ LLC,Jonathan,electrical,high,CR-11,362987,(480) 577-7785,Mesa,85203,R-11|CR-61,,
rauson-renovations-llc,RAUSON RENOVATIONS LLC,Kevin,general,high,KB-2,362985,(253) 377-3413,Corona de Tucson,85641,,,
295-cabling-llc,295 Cabling LLC,Nathaniel,lowvoltage,high,CR-67,362982,(602) 895-4184,Sparks,89431,,,
m3-building-concepts-llc,M3 Building Concepts LLC,Scott,general,high,B-3,362981,(480) 708-4036,PEORIA,85383,,,
sd-cap-construction-management-llc,"SD-Cap Construction Management, LLC",Tyler,general,high,B-1,362980,(303) 249-3109,Carrollton,75006,,,
my-plumber-plumbing-services-llc,My Plumber Plumbing Services LLC,Joseph,plumbing,high,R-37R,362978,(520) 313-7513,Tucson,85746,C-37,,
cactus-contracting-llc,Cactus Contracting LLC,Hunter,general,high,KB-2,362969,(480) 250-5236,Gilbert,85234,,,
logical-building-services-llc,"Logical Building Services, LLC",Davis,general,high,B-1,362966,(727) 458-7748,Tempe,85284,,,
meridian-construction-group-llc,Meridian Construction Group LLC,Mazin,general,high,KB-2,362963,(602) 332-8543,Chandler,85249,KA|CR-2,,
pipeliners-llc,"PIPELINERS, LLC",Jake,plumbing,high,CR-37,362960,(602) 339-1026,Mesa,85210,,,
mcjl-ventures-llc,"MCJL Ventures, LLC",Axan,plumbing,high,CR-37,362959,(818) 292-5869,Phoenix,85032,,,
zenith-pools-llc,ZENITH POOLS LLC,Andrew,pools,high,R-6,362954,(480) 735-4665,Gilbert,85296,,,
jien-shian-corporation,Jien Shian Corporation,Ta,general,high,B-1,362953,(602) 807-2996,Phoenix,85021,,,
standardpro-llc,Standardpro LLC,Nicu,hvac,high,CR-39,362948,(609) 712-6157,Phoenix,85016,KB-1,,
simmons-horn-design-build-llc,Simmons & Horn Design + Build LLC,Michael,signs,medium,KB-2,362940,(480) 418-6395,SCOTTSDALE,85260,,,
alliance-flooring-service-inc,"Alliance Flooring Service, Inc",Jeffrey,flooring,high,CR-8,362937,(253) 856-1288,Kent,98032,,,
sky-rise-solution-general-contracting-llc,"Sky Rise Solution General Contracting, LLC",Lucas,electrical,medium,KB-2,362934,(602) 380-9237,Miami,85539,CR-11,,
motes-homes-llc,Motes Homes LLC,Presley,general,high,KB-1,362932,(928) 965-7082,Thatcher,85552,,,
drywall-service-supremacy-llc,Drywall Service Supremacy LLC,Joel,sheetrock,high,CR-10,362929,(623) 693-4507,Buckeye,85326,CR-34,,
upside-az-llc,Upside Az LLC,Marissa,handyman,high,R-62,362928,(480) 630-4644,PHOENIX,85023,,,
hex-telecom-inc,"Hex-Telecom, Inc.",Charlie,general,high,B-1,362924,(815) 666-9370,Addison,75001,,,
saber-power-services-llc,Saber Power Services LLC,Armando,electrical,high,C-11,362923,(713) 222-9102,Rosharon,77583,,,
toshiba-america-energy-systems-corporation,Toshiba America Energy Systems Corporation,Steven,general,high,A,362922,(414) 867-3751,West Allis,53214,,,
matrix-hg-inc,MATRIX HG INC.,Daniel,hvac,medium,B-1,362921,(925) 459-9200,Concord,94520,C-39,,
southwest-door-trim-llc,SOUTHWEST DOOR & TRIM LLC,Valeria,carpentry,high,CR-60,362917,(480) 387-2327,Phoenix,85009,,,
prodigal-son-plumbing-az-llc,Prodigal Son Plumbing AZ LLC,Richard,plumbing,high,CR-37,362912,(602) 419-8518,Tolleson,85353,,,
yesac-corp,YESAC CORP,Sang,general,high,B-1,362911,(334) 356-5550,Tallassee,36078,,,
greenline-turf-and-hardscape-llc,Greenline Turf and Hardscape LLC,Cohen,landscaping,high,CR-21,362907,(480) 274-9305,TEMPE,85283,,,
rpl-electric-inc,"RPL Electric, Inc",Robert,electrical,high,CR-11,362905,(619) 787-8382,Alpine,91901,,,
diamond-coatings-az-llc,"Diamond Coatings AZ, LLC",Jonathan,painting,high,CR-34,362898,(602) 796-0261,Surprise,85387,,,
deniz-construction-llc,DENIZ CONSTRUCTION LLC,Santiago,sheetrock,high,CR-10,362897,(928) 707-0931,BELLEMONT,86015,,,
out-west-fire-specialist-llc,"Out West Fire Specialist, LLC",Donald,fireprotection,high,CR-16,362896,(623) 308-7138,Buckeye,85326,,,
taylor-made-pools-inc,Taylor Made Pools Inc,David,pools,high,KA-5,362893,(951) 722-5611,Hurricane,84737,,,
cleanlyte-inc,CLEANLYTE INC.,Joshua,electrical,high,R-11,362891,(949) 813-3990,Sacramento,95834,,,
tcb-operations-llc,TCB OPERATIONS LLC,Turner,demolition,high,CR-57,362877,(602) 885-0919,SURPRISE,85387,,,
alta-services-llc,Alta Services LLC,Glenn,handyman,high,R-62,362876,(602) 349-0959,Phoenix,85032,,,
russell-anthony-gurzi,Russell Anthony Gurzi,Russell,tile,high,R-48,362873,(951) 326-4518,Bullhead City,86442,,,
trove-consulting-llc,TROVE CONSULTING LLC,Nathan,hvac,medium,B-2,362870,(480) 750-9499,Gilbert,85234,C-39,,
keystone-contractors-inc,"Keystone Contractors, Inc.",Thor,masonry,high,CR-31,362863,(702) 657-0742,Las Vegas,89115,,,
naild-it-llc,NAILD- IT LLC,Jacob,carpentry,high,C-60,362862,(720) 903-5191,Denver,80249,,,
arizona-pavement-specialist-llc,Arizona Pavement Specialist LLC,Elias,asphalt,high,CR-69,362861,(602) 760-6773,PHOENIX,85016,,,
aces-excavation-llc,Aces Excavation LLC,Robert,excavating,high,CR-2,362860,(480) 226-4319,San Tan Valley,85140,CR-57,,
red-rock-electrical-llc,RED ROCK ELECTRICAL LLC,REED,electrical,high,CR-11,362859,(605) 440-0680,PHOENIX,85032,,,
vex-landscape-excavation-llc,VEX Landscape & Excavation LLC,Zackery,landscaping,high,R-21,362857,(623) 826-5113,SURPRISE,85388,,,
escalante-concrete-construction-inc,Escalante Concrete Construction Inc,Brian,concrete,medium,KB-1,362856,(520) 887-8682,Tucson,85704,C-9|R-9,,
promised-land-companies-llc,"Promised Land Companies, LLC",Gregory,general,high,B,362854,(763) 777-0077,Phoenix,85032,,,
next-gen-hvac-llc,"Next Gen HVAC, LLC",Michael,hvac,high,CR-39,362853,(602) 312-8200,Phoenix,85044,CR-40,,
gila-carpentry-and-restoration-llc,Gila Carpentry and Restoration LLC,Corey,carpentry,high,CR-60,362852,(650) 704-1932,TUCSON,85711,,,
high-country-fencing-landscape-llc,High Country Fencing & Landscape LLC,Jaron,landscaping,high,CR-21,362851,(928) 606-6457,Flagstaff,86001,,,
allworkz-llc,AllworkZ LLC,Randy,carpentry,high,CR-60,362848,(602) 703-3803,Camp Verde,86322,,,
valley-of-the-sun-electric-llc,VALLEY OF THE SUN ELECTRIC LLC,Francisco,electrical,high,CR-11,362844,(602) 481-7981,Phoenix,85041,,,
wd-contracting-llc,W.D Contracting LLC,William,general,high,KB-1,362843,(480) 390-4092,MESA,85204,,,
mainline-electric,Mainline Electric,Jose,electrical,high,CR-11,362842,(940) 468-8915,Gainesville,76240,,,
affordable-pump-waterworks-llc,AFFORDABLE PUMP & WATERWORKS LLC,Lonnie,welldrilling,high,CR-53,362840,(520) 836-4733,Maricopa,85138,A-16,,
onpoint-earthwork-llc,OnPoint Earthwork LLC,Susan,excavating,high,A-5,362839,(702) 551-7676,Las Vegas,89118,CR-57,,
powers-dd-salazar-llc,Powers DD Salazar LLC,JUAN,general,high,KA,362836,(602) 446-8726,PHOENIX,85040,,,
gallegos-masonry-llc,Gallegos Masonry LLC,Raymond,masonry,high,CR-31,362831,(602) 513-2934,Mesa,85212,,,
arc-pool-service-llc,ARC POOL SERVICE LLC,Alex,pools,high,CR-6,362830,(714) 473-8959,CHANDLER,85249,,,
dye-namic-plumbing-llc,Dye-Namic Plumbing LLC,JORDAN,plumbing,high,CR-37,362822,(480) 619-7590,MESA,85205,,,
pickering-builders-llc,PICKERING BUILDERS LLC,Anthony,flooring,high,CR-8,362821,(480) 593-5000,Gilbert,85297,,,
ethos-worx-llc,Ethos Worx LLC,John,handyman,high,R-62,362820,(480) 710-9487,Queen Creek,85142,,,
duke-industrial-group-llc,Duke Industrial Group LLC,Patrick,electrical,high,C-11,362819,(337) 496-4004,Ruston,71270,,,
eyestone-plumbing-llc,"Eyestone Plumbing, LLC",Zachary,plumbing,high,CR-37,362818,(928) 302-9138,LAKE HAVASU CITY,86406,,,
apex-drywall-solutions-llc,APEX DRYWALL SOLUTIONS LLC,miguel,sheetrock,high,CR-10,362813,(520) 406-8965,SAHUARITA,85629,,,
honestly-hvac-llc,Honestly HVAC LLC,James,hvac,high,CR-39,362811,(520) 820-5422,TUCSON,85732,,,
robert-prince-bechtold,Robert Prince Bechtold,Robert,general,high,KB-1,362810,928487502,Redlands,92375,,,
grand-valley-llc,GRAND VALLEY LLC,Carlos,roofing,high,CR-42,362807,(520) 252-5856,Tucson,85746,,,
arizona-leak-detection-llc,ARIZONA LEAK DETECTION LLC,Ariana,plumbing,high,R-37R,362804,(602) 354-2945,PHOENIX,85051,CR-61,,
o-and-j-tile-llc,O And J Tile LLC,Carol,tile,high,CR-48,362801,(480) 957-6208,Phoenix,85051,,,
dsc-builders-llc,DSC  Builders LLC,Elon,general,high,KB-1,362799,(909) 225-1311,Bullhead City,86429,,,
bandito-pools-llc,Bandito Pools LLC,Tracy,pools,high,KA-5,362796,(623) 526-0551,EL MIRAGE,85335,,,
candelaria-homes-llc,Candelaria Homes LLC,Ricardo,general,high,B,362794,(505) 917-2099,Albuquerque,87711,,,
curbcrete-usa-llc,CurbCrete USA LLC,William,carpentry,medium,A,362792,(480) 862-0675,Phoenix,85050,CR-61,,
romero-industries-llc,Romero Industries LLC,Jaime,demolition,high,CR-57,362791,(520) 869-3891,Tucson,85746,,,
octane-environmental-llc,OCTANE ENVIRONMENTAL LLC,Kayla,septic,high,CR-41,362790,(833) 462-8263,Bridgeport,26330,,,
prescott-pinnacle-construction-llc,Prescott Pinnacle Construction LLC,Michael,general,high,KB-2,362785,(928) 533-7185,Prescott Valley,86315,,,
robles-tile-llc,Robles Tile LLC,Nancy,tile,high,CR-48,362784,(602) 653-8829,Buckeye,85396,,,
te-li,Te Li,Te,hvac,medium,B-1,362783,(626) 342-8790,Ontario,91762,C-58|R-11|A-11|C-14|C-24|C-3|C-16|A|C-4|C-49|C-38|C-40|C-45,,
dope-boy-pools-llc,"Dope Boy Pools, LLC",Michael,pools,high,KA-5,362778,480-304074,QUEEN CREEK,85142,,,
i-10-underground-llc,I-10 Underground LLC,Alejandro,plumbing,high,CR-80,362776,(619) 480-4791,Tucson,85757,,,
warrior-woodworking-llc,Warrior Woodworking LLC,Chase,carpentry,high,CR-60,362774,(602) 694-4455,Phoenix,85083,,,
touch-of-freedom-painting-llc,Touch of Freedom Painting LLC,alfonso,painting,high,CR-34,362773,(480) 388-4606,Waddell,85355,,,
sp-construction-inc,"SP CONSTRUCTION, INC.",Scot,electrical,high,CR-11,362770,(951) 526-6411,La Quinta,92253,KB-1,,
thomasson-trades-llc,Thomasson Trades LLC,Caleb,handyman,high,R-62,362765,(520) 678-2750,Tombstone,85638,,,
haolys-llc,Haolys LLC,Kate,pools,high,CR-6,362762,(480) 253-9454,Scottsdale,85251,,,
sierra-vista-painting-drywall-services-llc,Sierra Vista Painting & Drywall Services LLC,Eduardo,sheetrock,high,CR-10,362760,(520) 227-1107,Hereford,85615,CR-34,,
sierra-vista-painting-drywall-services-llc,Sierra Vista Painting & Drywall Services LLC,Eduardo,sheetrock,high,CR-10,362759,(520) 227-1107,Hereford,85615,CR-34,,
belgravia-homes-llc,"Belgravia Homes, LLC",James,general,high,KB-2,362744,(480) 969-1911,CHANDLER,85225,,,
southwest-sawyers-llc,Southwest Sawyers LLC,Dennis,landscaping,high,CR-21,362740,(928) 417-9290,Claypool,85532,,,
baja-construction-co-inc,Baja Construction Co Inc,Gary,steel,medium,B-1,362738,(925) 765-8851,Martinez,94553,A-11,,
alliance-general-contracting-inc,Alliance General Contracting Inc,Michael,general,high,KB-1,362737,(805) 914-8998,SCOTTSDALE,85259,,,
jose-santos-pineda-reyes,Jose Santos Pineda Reyes,Jose,general,high,B-2,362731,(714) 493-4197,Fullerton,92833,,,
c-o-christian-sons-company-inc,"C. O. CHRISTIAN & SONS COMPANY, INC.",ANDREW,lowvoltage,high,CR-67,362729,(615) 254-3491,NASHVILLE,37211,,,
az-new-homes-llc,AZ New Homes LLC,Patrick,general,high,B,362724,(602) 810-0488,Gilbert,85234,,,
cedar-construction-group-llc,Cedar Construction Group LLC,Scott,general,high,B-1,362722,(810) 343-1057,Sarasota,34231,,,
gtz-contracting-llc,GTZ CONTRACTING LLC,Omar,excavating,high,R-2,362721,(928) 710-4443,Prescott Valley,86315,R-41,,
414-concrete-solutions-llc,414 Concrete Solutions LLC,Robert,concrete,high,CR-9,362718,(602) 206-4505,Avondale,85392,,,
g-t-o-masonry-llc,G T O Masonry L.L.C.,Joel,masonry,high,CR-31,362717,(702) 426-1184,Henderson,89015,,,
overall-electric-llc,Overall Electric LLC,Michael,electrical,high,CR-11,362714,(480) 528-0778,San Tan Valley,85140,,,
fnl-restoration-llc,FNL Restoration LLC,DAVID,general,high,B-3,362709,(520) 335-7380,Phoenix,85016,,,
dnexus-group-llc,"DNexus Group, LLC",Joseph,electrical,high,C-11,362704,(786) 358-7238,Miami Lakes,33016,,,
4k-welding-and-fabrication-llc,4K Welding and Fabrication LLC,Juan,welding,high,CR-24,362701,(520) 425-4018,MAMMOTH,85618,,,
dupper-landscape-inc,Dupper Landscape Inc,Joshua,landscaping,medium,KA,362694,(480) 893-7688,Tempe,85284,CR-21,,
chelle-air-llc,Chelle Air LLC,Derrick,hvac,high,CR-39,362686,(623) 203-0931,Goodyear,85338,,,
kurita-america-inc,KURITA AMERICA INC.,Weiping,general,high,B-1,362680,(866) 663-7633,Minneapolis,55445,,,
sprint-mechanical-llc,"Sprint Mechanical, LLC",Michael,hvac,high,C-58,362672,(833) 777-4688,Houston,77024,C-4|B-1|C-11,,
terra-firma-excavating-llc,Terra Firma Excavating LLC,Colby,excavating,high,CR-2,362668,(928) 970-0323,Payson,85441,,,
standardpro-llc,Standardpro LLC,Nicu,hvac,high,CR-39,362664,(609) 712-6157,Phoenix,85016,KB-1,,
obsidian-handyman-services-llc,Obsidian Handyman Services LLC,Branden,handyman,high,R-62,362662,(602) 419-7535,New River,85087,,,
national-power-llc,"NATIONAL POWER, LLC",Jamie,general,high,B-1,362660,(800) 790-1672,Raleigh,27616,,,
loyola-cazarez-lath-stucco-llc,Loyola & Cazarez Lath & Stucco llc,Patricia,masonry,medium,CR-36,362658,(602) 731-9863,PHOENIX,85033,,,
insight-home-services-llc,Insight Home Services LLC,Billy,handyman,high,R-62,362650,(602) 540-6811,SURPRISE,85388,,,
superior-air-heating-cooling-llc,Superior Air Heating & Cooling LLC,Robert,hvac,high,CR-39,362649,(520) 437-6627,Tucson,85754,,,
sphar-electric-llc,SPHAR Electric LLC,Russell,electrical,high,CR-11,362648,(602) 206-9118,PHOENIX,85028,,,
eric-sons-inc,Eric & Sons Inc,Kristy,hvac,medium,B,362647,(928) 775-2880,Prescott,86301,KB-2|CR-45,,
desert-attic-solution-corporation,Desert Attic Solution Corporation,Adam,insulation,high,R-40,362646,(602) 799-8322,Phoenix,85006,,,
arizona-well-drilling-llc,Arizona Well Drilling LLC,Hal,welldrilling,high,CR-53,362644,(602) 830-1588,Buckeye,85326,,,
andrew-alexander-nyce,Andrew Alexander Nyce,Andrew,general,high,B-1,362643,(970) 403-2420,Bend,97701,,,
the-pole-base-company-llc,The Pole Base Company LLC,Fred,electrical,high,CR-11,362641,(719) 597-5674,Colorado Springs,80918,CR-9,,
babylon-cabinetry-design-llc,Babylon Cabinetry & Design LLC,robert,carpentry,high,CR-60,362634,(480) 758-2752,SURPRISE,85388,,,
c-e-g-concrete-excavating-llc,C E G Concrete & Excavating LLC,Ramon,concrete,high,CR-9,362632,(623) 261-2699,Glendale,85303,CR-2,,
luxcore-builders-llc,"Luxcore Builders, LLC",Cory,handyman,high,R-62,362631,(480) 382-1076,Yarnell,85362,B,,
bella-bath-and-kitchen-llc,Bella Bath and Kitchen LLC,Anthony,general,high,B-3,362630,(760) 668-4653,Mesa,85209,,,
modern-design-development-llc,Modern Design & Development LLC,Jacob,carpentry,high,CR-7,362628,(480) 226-1373,Mesa,85201,B,,
scooters-concrete-inc,SCOOTER'S CONCRETE INC,Jake,concrete,high,CR-9,362627,(619) 875-1640,WITTMANN,85361,,,
aos-construction-llc,AOS Construction LLC,Elide,general,high,A,362625,(602) 397-7472,PHOENIX,85043,,,
padberg-plumbing,Padberg Plumbing,Kent,plumbing,high,R-37R,362621,(602) 300-4147,Buckeye,85326,,,
mile-high-plumbing-llc,Mile High Plumbing LLC,Leon,plumbing,high,CR-37,362619,(928) 243-3570,SNOWFLAKE,85937,,,
vision-general-contractors-of-ga-llc,Vision General Contractors of GA LLC,Robert,general,high,B-1,362613,(770) 769-4674,Summerville,29485,,,
elm-construction-llc,Elm Construction LLC,Zachary,general,high,B-1,362610,(406) 890-1012,Kalispell,59903,,,
mayers-glass-az-llc,MAYER'S GLASS AZ LLC,Noe,glass,high,CR-65,362600,(915) 843-0363,PHOENIX,85037,,,
inland-commercial-flooring-inc,"Inland Commercial Flooring, Inc.",Donald,flooring,high,C-8,362597,(909) 920-0054,Upland,91784,C-48,,
american-made-welding-and-fabrication-llc,"American Made Welding and Fabrication, LLC",Amber,welding,high,CR-56,362596,(928) 263-7696,Kingman,86401,,,
4w-industries-llc,"4W Industries, LLC",Benjamin,plumbing,high,CR-37,362593,(928) 713-8819,Prescott,86301,,,
gt-ea-inc,GT E&A INC,Steve,general,high,B-1,362592,(602) 763-5377,Mesa,85206,,,
jk-engineering-excavating-llc,JK Engineering Excavating LLC,James,excavating,medium,KA,362588,(520) 604-1664,Patagonia,85624,,,
amaral-masonry-llc,AMARAL MASONRY LLC,Rafael,masonry,high,CR-31,362586,(928) 660-0602,Prescott Valley,86314,,,
apex-union-technologies-co,Apex Union Technologies Co.,Uladzimir,electrical,medium,B-1,362585,(602) 663-8302,TEMPE,85282,C-11,,
apex-union-technologies-co,Apex Union Technologies Co.,Uladzimir,electrical,medium,B-1,362584,(602) 663-8302,TEMPE,85282,C-11,,
apex-abatements-of-arizona-llc,Apex Abatements of Arizona LLC,Nathan,demolition,high,CR-57,362574,(623) 428-3643,Glendale,85305,,,
rio-roofing-llc,Rio Roofing LLC,Nathanael,roofing,high,CR-42,362572,(435) 319-0022,Washington,84780,,,
darwin-ashley-greenwell,Darwin Ashley Greenwell,Darwin,general,high,KB-2,362569,(650) 833-8149,Tucson,85719,,,
rebath-az-llc,"REBATH AZ, LLC",Christopher,plumbing,medium,B-3,362567,(480) 998-8900,Phoenix,85008,R-37R,,
ss-structures-llc,S&S Structures LLC,Joseph,steel,medium,KB-1,362566,(602) 615-7163,Phoenix,85009,CR-17,,
greenhome-specialties-inc,Greenhome Specialties Inc,Kyle,insulation,high,R-40,362563,(801) 698-1551,West Haven,84401,,,
kennedy-richter-construction-colorado-llc,Kennedy Richter Construction Colorado LLC,Thomas,general,high,B-1,362562,(843) 207-4849,North Charleston,29405,,,
nss-renewable-electric-llc,NSS Renewable Electric LLC,Nicholas,electrical,high,C-11,362561,(904) 400-3203,Phoenix,85012,,,
neaux-epoxy-flooring-llc,neaux epoxy flooring llc,VICTOR,general,high,B,362559,(480) 993-9162,QUEEN CREEK,85142,,,
rojo-construction-llc,ROJO CONSTRUCTION LLC,David,welding,high,CR-24,362558,(520) 240-4021,TUCSON,85713,,,
cell-crete-corporation,Cell-Crete Corporation,Louis,concrete,high,CR-9,362557,(800) 660-8062,Monrovia,91016,CR-1,,
john-joseph-lopez,John Joseph Lopez,John,painting,high,CR-34,362556,(559) 859-7435,Sierra Vista,85635,,,
sjb-construction-llc,SJB Construction LLC,Scotty,general,high,B,362553,(928) 925-2692,Prescott,86305,,,
bocore-place-finish-llc,Bocore Place & Finish LLC,Zackery,concrete,high,C-9,362543,(315) 532-1033,Buckeye,85326,,,
